"Name","Id","Path"
"AdAppMgrSvc","4436",
"AdskLicensingService","4428",
"AggregatorHost","3972",
"AppActions","8500","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe"
"backgroundTaskHost","7084","C:\WINDOWS\system32\backgroundTaskHost.exe"
"backgroundTaskHost","9460","C:\WINDOWS\system32\backgroundTaskHost.exe"
"backgroundTaskHost","13016","C:\WINDOWS\system32\backgroundTaskHost.exe"
"cmd","18024","C:\WINDOWS\system32\cmd.exe"
"Code","1272","C:\Users\5Uriel\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","2056","C:\Users\5Uriel\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","2472","C:\Users\5Uriel\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","4448","C:\Users\5Uriel\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","4560","C:\Users\5Uriel\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","8820","C:\Users\5Uriel\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","9560","C:\Users\5Uriel\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","10904","C:\Users\5Uriel\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","17744","C:\Users\5Uriel\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"Code","17824","C:\Users\5Uriel\AppData\Local\Programs\Microsoft VS Code\Code.exe"
"CodeSetup-stable-1e3c50d64110be466c0b4a45222e81d2c9352888","15044","C:\Users\5Uriel\AppData\Local\Temp\vscode-stable-user-x64\CodeSetup-stable-1e3c50d64110be466c0b4a45222e81d2c9352888.exe"
"CodeSetup-stable-1e3c50d64110be466c0b4a45222e81d2c9352888.tmp","16160","C:\Users\5Uriel\AppData\Local\Temp\is-I6JH1.tmp\CodeSetup-stable-1e3c50d64110be466c0b4a45222e81d2c9352888.tmp"
"conhost","2300","C:\WINDOWS\system32\conhost.exe"
"conhost","9400","C:\WINDOWS\system32\conhost.exe"
"conhost","11348","C:\WINDOWS\system32\conhost.exe"
"conhost","11820","C:\WINDOWS\system32\conhost.exe"
"conhost","13748",
"conhost","16628","C:\WINDOWS\system32\conhost.exe"
"crashpad_handler","7292",
"CrossDeviceResume","4748","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\CrossDeviceResume.exe"
"CrossDeviceService","14636","C:\Program Files\WindowsApps\MicrosoftWindows.CrossDevice_1.25101.31.0_x64__cw5n1h2txyewy\CrossDeviceService.exe"
"csrss","836",
"csrss","1136",
"ctfmon","13300",
"DataExchangeHost","3012","C:\Windows\System32\DataExchangeHost.exe"
"DbxSvc","4456",
"dllhost","5856","C:\WINDOWS\system32\DllHost.exe"
"dllhost","8332","C:\WINDOWS\system32\DllHost.exe"
"dllhost","10864","C:\WINDOWS\system32\DllHost.exe"
"dllhost","15608","C:\WINDOWS\system32\DllHost.exe"
"dllhost","16748","C:\WINDOWS\system32\DllHost.exe"
"Dropbox","10112","C:\Program Files (x86)\Dropbox\Client\Dropbox.exe"
"Dropbox","14528","C:\Program Files (x86)\Dropbox\Client\Dropbox.exe"
"Dropbox","14792","C:\Program Files (x86)\Dropbox\Client\Dropbox.exe"
"Dropbox","16548","C:\Program Files (x86)\Dropbox\Client\Dropbox.exe"
"Dropbox","16584","C:\Program Files (x86)\Dropbox\Client\Dropbox.exe"
"Dropbox","17008","C:\Program Files (x86)\Dropbox\Client\Dropbox.exe"
"Dropbox","17348","C:\Program Files (x86)\Dropbox\Client\Dropbox.exe"
"dwm","1716",
"esif_uf","4716",
"explorer","10092","C:\WINDOWS\Explorer.EXE"
"FnHotkeyCapsLKNumLK","6796",
"FnHotkeyUtility","10220","C:\Windows\System32\DriverStore\FileRepository\lenovofnandfunctionkeys.inf_amd64_e40ba436be734fd2\FnHotkeyUtility.exe"
"FNPLicensingService","4632",
"fontdrvhost","1456",
"fontdrvhost","1460",
"Idle","0",
"igfxCUIServiceN","3576",
"igfxEMN","8168","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_6673c5322430fc8a\igfxEMN.exe"
"IntelAudioService","4724",
"IntelCpHDCPSvc","2332",
"jhi_service","4788",
"LenovoUtilityService","4884",
"LsaIso","1288",
"lsass","1300",
"Memory Compression","3452",
"MpDefenderCoreService","5068",
"msedge","2008","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","3716","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","5420","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","8204","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","11360","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","11628","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","12996","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","13552","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","14544","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","14992","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","15304","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","15460","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","16432","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedge","17844","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe"
"msedgewebview2","2788","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe"
"msedgewebview2","4772","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe"
"msedgewebview2","5108","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe"
"msedgewebview2","6308","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe"
"msedgewebview2","7200","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe"
"msedgewebview2","7312","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe"
"msedgewebview2","7656","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe"
"msedgewebview2","9076","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe"
"msedgewebview2","10860","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe"
"msedgewebview2","11304","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\142.0.3595.90\msedgewebview2.exe"
