"IP","Pais","TipoUso","Reportes","Clasificacion","ConfidenceScore"
"104.18.23.222","United States of America","Content Delivery Network","0","Lista Blanca","0"
"104.208.203.88","United States of America","Data Center/Web Hosting/Transit","0","Lista Negra","0"
"162.125.21.2","United States of America","Commercial","2","Lista Negra","0"
"162.125.21.3","United States of America","Commercial","0","Lista Negra","0"
"162.125.8.19","United States of America","Commercial","0","Lista Negra","0"
"20.42.65.84","United States of America","Data Center/Web Hosting/Transit","11","Lista Negra","10"
"34.120.195.249","United States of America","Content Delivery Network","45","Lista Negra","29"
"52.112.84.177","United States of America","Data Center/Web Hosting/Transit","0","Lista Negra","0"
"52.112.84.180","United States of America","Data Center/Web Hosting/Transit","0","Lista Negra","0"
"52.112.84.201","United States of America","Data Center/Web Hosting/Transit","0","Lista Negra","0"
"52.123.190.186","United States of America","Data Center/Web Hosting/Transit","0","Lista Negra","0"
"52.123.250.7","United States of America","Data Center/Web Hosting/Transit","0","Lista Negra","0"
"57.144.195.32","United States of America","Commercial","0","Lista Negra","0"
